Name,Latitude,Longitude,Altitude,GeopositioningMethod,WIGOSstationIdentifier,DateEstablished,FacilityType,ProgramAffiliation,ObservedVariableAtmosphere,Geometry,WMORegion,TerritoryName,ReportingStatus
KALRO Kibos,-0.066,34.813,1182,unknown,0-404-300-422381186AS00032,2021-04-11,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Maseno Veterinary Farm Maseno,0.000883,34.598,1555,unknown,0-404-300-422391195AS00027,2021-05-11,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Nyajuok,-0.03511667,34.27817,1222,unknown,0-404-300-412341168AS00041,2021-08-11,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Mary's Yala Secondary School,0.09503333,34.53422,1448,unknown,0-404-300-412351172AS00042,2021-08-11,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Oyude Chief's Camp,-0.1207333,34.38215,1252,unknown,0-404-300-412371182AS00039,2021-09-11,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Usenge High School,-0.07193333,34.05122,1151,unknown,0-404-300-412361175AS00040,2021-10-11,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Mudhiero Sec School,0.167164,34.432511,1340,unknown,0-404-300-412321160AS00043,2021-10-11,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Dept. of Agriculture Ikolomani,0.188167,34.75873,1571,unknown,0-404-300-372101048AS00026,15/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Dept of Agriculture  Khwisero,0.165567,34.59605,1386,unknown,0-404-300-372081037AS00024,15/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Dept of Agriculture Navakholo,0.413,34.68272,1522,unknown,0-404-300-372031019AS00022,16/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Dept of Agriculture  Likuyani,0.78265,35.13187,1889,unknown,0-404-300-372000999AS00025,16/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Samia DCC Funyula,0.2717,34.09102,1193,unknown,0-404-300-402301149AS00034,2021-12-11,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Butula DCC,0.3400833,34.33735,1287,unknown,0-404-300-402291146AS00033,2021-11-11,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
St Paul's Elwanikha Girls Sec Sch,0.4797667,34.3615,1241,unknown,0-404-300-402271135AS00037,16/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Busia ATC (Agromet),0.4584167,34.11588,1227,unknown,0-404-300-402281141AS00036,2021-12-11,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Bishop Sulumeti Ang'urai,0.6921,34.35717,1421,unknown,0-404-300-402251125AS00038,13/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
St Paul's Amukura Boys,0.5695333,34.27348,1291,unknown,0-404-300-402261131AS00035,13/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Turbo Girls High School,0.6214333,35.0466,1837,unknown,0-404-300-271460730AS00048,17/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Ainabkoi KCC Plant,0.1600667,35.52042,2635,unknown,0-404-300-271440721AS00049,18/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Komool Farm,0.6874333,35.23965,2015,unknown,0-404-300-271410712AS00051,17/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Kaptagat Forest,0.4361833,35.48877,2440,unknown,0-404-300-271440720AS00050,18/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Timboroa Forest Station,0.06846667,35.53987,2734,unknown,0-404-300-271460730AS00052,20/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
University of Eldoret (Agromet),0.58015,35.29977,2147,unknown,0-404-300-271430718AS00053,19/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Nasukuta LIC AWS (Agromet),1.361367,35.19627,1638,unknown,0-404-300-1320657AS00062,21/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Kaibichbich Agricultural Office,1.202633,35.28673,2613,unknown,0-404-300-241320659AS00061,21/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Kacheliba DCC AWS,1.491467,35.0102,1315,unknown,0-404-300-241310651AS00060,22/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
St Catherine Chepnyal,1.605133,35.28978,1987,unknown,0-404-300-241290646AS00059,22/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Sigor Agricultural Office,1.483667,35.47013,978,unknown,0-404-300-241300650AS00063,21/12/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Metkei DO'S office,0.2016333,35.56998,2602,unknown,0-404-300-281500750AS00054,25/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Kapcherop Nyayo Tea Zone,1.041067,35.32523,2279,unknown,0-404-300-281480736AS00055,24/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Kapyego Police Station,1.145933,35.47788,3024,unknown,0-404-300-281470731AS00056,24/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Arror Irrigation scheme (Agromet),0.9387667,35.62502,1034,unknown,0-404-300-281480740AS00057,29/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Bartolimo Boys High School,0.6814167,35.81887,1980,unknown,0-404-300-301580790AS00071,27/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
AIC Churo Girls  High School,0.7667833,36.4056,1798,unknown,0-404-300-301570787AS00074,29/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Koibatek ATC (Agromet),0.05191667,35.7805,1939,unknown,0-404-300-301620809AS00072,28/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Baringo High School,0.03925,35.72693,2175,unknown,0-404-300-301620807AS00073,29/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Ng'oron  High School,1.291267,35.78693,1010,unknown,0-404-300-301570781AS00070,29/11/2021,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Ng'enyilel Mixed Sec Sch,0.2513667,36.28473,2071,unknown,0-404-300-301600800AS00075,2021-01-12,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
KFS Ol Kalou,-0.2688833,36.3788,2360,unknown,0-404-300-180910456AS00066,2021-03-12,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Wanjohi Girls High Sch,-0.3096333,36.49028,2378,unknown,0-404-300-180900449AS00067,2021-03-12,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Magumu Boys High Sch (Agromet),-0.8529333,36.56168,2740,unknown,0-404-300-180890448AS00069,2021-05-12,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Shamata Girls High Sch ,-0.1962,36.49967,2752,unknown,0-404-300-180930465AS00064,2021-05-12,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Ndaragwa Boys high School,-0.06166667,36.45365,2484,unknown,0-404-300-180930464AS00065,2021-06-12,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
KFS Gita Station,-0.4725167,36.60588,2591,unknown,0-404-300-180900451AS00068,2021-06-12,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Kinamba Agriculture office (Agromet),0.4209167,36.32183,2093,unknown,0-404-300-311630813AS00080,2021-09-12,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Survey Secondary School station,0.5785167,36.5613,1904,unknown,0-404-300-311630822AS00079,2021-10-12,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Kimanjo Primary School station,0.4837667,37.01168,1762,unknown,0-404-300-311650824AS00083,2021-09-12,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Lokusero Secondary School station,0.3119667,37.29668,1930,unknown,0-404-300-311650825AS00084,2021-10-12,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Tigithi Boys High School station,-0.05658333,36.94648,1838,unknown,0-404-300-311640818AS00082,2021-07-12,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Ngobit Police Station,-0.06248333,36.80098,1953,unknown,0-404-300-311640818AS00081,2021-06-12,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
Githima chief's camp,-0.1254,37.03002,1972,unknown,0-404-300-190950476AS00099,2021-10-12,Land (fixed),Non-affiliated,"Air temperature (at specified distance from reference surface), Atmospheric pressure, Amount of precipitation, Type of precipitation, Humidity (at specified distance from reference surface), Horizontal wind direction at specified distance from reference surface, Horizontal wind speed at specified distance from reference surface, Visibility",Point,Africa,Kenya,Operational
